,0
0,<PAD>
1,<SOS>
2,<EOS>
3,yeah
4,","
5,more
6,like
7,the
8,schedule
9,.
10,bye
11,he
12,just
13,really
14,liked
15,you
16,all
17,right
18,yep
19,and
20,in
21,...
22,there
23,we
24,go
25,what
26,are
27,zooming
28,on
29,?
30,newspaper
31,over
32,sadako
33,well
34,done
35,guys
36,get
37,green
38,that
39,should
40,about
41,do
42,it
43,so
44,here
45,'s
46,dina
47,she
48,probably
49,knows
50,where
51,anneli
52,is
53,better
54,be
55,julie
56,kwak
57,can
58,to
59,botanical
60,gardens
61,for
62,an
63,olfactory
64,overload
65,obsidian
66,estates
67,i
68,think
69,holy
70,wow
71,!
72,hal
73,'re
74,mother
75,they
76,must
77,have
78,been
79,adorable
80,one
81,yellow
82,brown
83,then
84,three
85,sort
86,of
87,mixed
88,each
89,at
90,its
91,own
92,nipple
93,penny
94,put
95,fay
96,filia
97,not
98,a
99,bad
100,view
101,almost
102,see
103,lake
104,from
105,look
106,perfect
107,home
108,front
109,as
110,wild
111,said
112,good
113,harlow
114,chanel
115,was
116,champagne
117,side
118,effect
119,khyber
120,speak
121,english
122,how
123,beautiful
124,gort
125,klaatu
126,barada
127,nikto
128,eric
129,niklaus
130,navier
131,dean
132,roger
133,worth
134,fortune
135,these
136,ain
137,'t
138,half
139,heavy
140,take
141,this
142,alfie
143,patterns
144,kid
145,looks
146,my
147,name
148,chandan
149,me
150,way
151,nice
152,parking
153,job
154,camera
155,dead-zone
156,'m
157,guessing
158,psycho
159,blond
160,wasn
161,our
162,free
163,tote-bag
164,promotion
165,young-eun
166,petroucha
167,sang
168,hyo
169,had
170,slogan
171,hospitality
172,oh
173,shouldn
174,hanna
175,doing
176,maya
177,riley
178,sookie
179,ricardo
180,beautifully
181,soft
182,overbaked
183,ooh
184,la
185,kyle
186,fast
187,bono
188,by
189,legs
190,gotcha
191,fireplace
192,incredible
193,octaves
194,shizuka
195,his
196,tablet
197,clarke
198,shadow
199,don
200,even
201,need
202,uh
203,place
204,down
205,street
206,lucy
207,quote
208,:
209,mind-blowing
210,lime
211,gelato
212,""""
213,drugs
214,working
215,eveline
216,speeder
217,nicely
218,jerry
219,cullen
220,polo
221,marco
222,broadcast
223,script
224,relief
225,debu
226,merest
227,strip-searched
228,hash
229,browns
230,huh
231,hydraineas
232,dylan
233,reads
234,proust
235,now
236,john
237,franco
238,justin
239,time
240,rusca
241,hey
242,know
243,but
244,looked
245,amazing
246,if
247,rennes
248,means
249,overall
250,excellent
251,salmon
252,en
253,croute
254,perfection
255,cars
256,lotts
257,'
258,dealership
259,footprint
260,na
261,zdorovje
262,jessie
263,thanks
264,heard
265,blake
266,wondering
267,rutledge
268,case
269,took
270,two
271,armed
272,suspects
273,myself
274,sure
275,dave
276,told
277,little
278,happening
279,blowback
280,hasn
281,could
282,'ve
283,only
284,older
285,men
286,who
287,died
288,percy
289,gutierrez
290,lighting
291,us
292,up
293,ri
294,jin
295,no
296,than
297,them
298,plowmans
299,got
300,yours
301,lieu
302,office
303,whoops
304,phone
305,rings
306,come
307,won
308,taste
309,groans
310,great
311,fantastic
312,alive
313,sparkling
314,water
315,very
316,nine
317,starter
318,her
319,attitude
320,chi-raq
321,host
322,upset
323,or
324,annoy
325,target
326,thank
327,soliman
328,natural
329,hagit
330,couture
331,i-
332,-
333,saw
334,article
335,paper
336,your
337,book
338,something
339,sexual
340,human
341,response
342,nothin
343,brings
344,rustic
345,quality
346,tum
347,easy
348,softer
349,essential
350,zip
351,redecorating
352,viv
353,isn
354,osawa
355,..
356,mean
357,mickey
358,cave
359,let
360,follow
361,lot
362,rocks
363,normally
364,under
365,miracle
366,guaterrier
367,gualtiery
368,huat
369,appletini
370,jasio
371,valco
372,serves
373,played
374,smooth
375,8
376,arabic
377,ok
378,actually
379,cleaned
380,day
381,today
382,noah
383,park
384,care
385,would
386,dong-soo
387,best
388,thermometer
389,car
390,meets
391,criteria
392,title
393,worst
394,world
395,drive
396,bernard
397,why
398,chi
399,san
400,looking
401,both
402,faces
403,jeez
404,helped
405,wakasa
406,okay
407,four
408,degrees
409,left
410,fabrice
411,andy
412,broyles
413,george
414,wine
415,baby
416,locals
417,edward
418,tone
419,zozo
420,jessica
421,jean
422,benoit
423,aubery
424,reacting
425,perhan
426,clark
427,jeep
428,across
429,before
430,lili
431,marleen
432,evangelou
433,hmm
434,familiar
435,going
436,party
437,gergley
438,hooks
439,charles
440,fine
441,buy
442,gone
443,bankrupt
444,writer
445,jake
446,sevrin
447,table
448,6
449,lorko
450,marcus
451,does
452,curse
453,pretty
454,ayla
455,miss
456,transito
457,emilio
458,fix
459,broken
460,tiles
461,sophia
462,cuter
463,chewie
464,boy
465,yes
466,getting
467,sharper
468,found
469,work
470,everywhere
471,frederick
472,hardi
473,deathly
474,pale
475,lida
476,apalachee
477,stairs
478,somebody
479,having
480,eh
481,shrimp
482,dumpling
483,bone
484,cap
485,some
486,shaft
487,result
488,summarizes
489,everything
490,filip
491,kolev
492,safe
493,room
494,bank
495,ahmed
496,words
497,describe
498,seth
499,martin
500,luprent
501,elegant
502,dancing
503,steps
504,hélène
505,tonik
506,master
507,effects
508,billy
509,nai
510,cum
511,sã
512,dovedeºti
513,altfel
514,tom
515,ar
516,fi
517,devenit
518,stãpân
519,de-acum
520,înainte
521,cut
522,viewer
523,compelling
524,beginning
525,osetsu
526,grazia
527,wonderful
528,marvelous
529,holbein
530,masterpiece
531,tracey
532,victor
533,hyoma-sama
534,otama-san
535,did
536,dog
537,shimazaki
538,lost
539,drink
540,off
541,alright
542,augie
543,athos
544,salamanca
545,boss
546,ordered
547,'ll
548,cleaner
549,heart
550,attack
551,bess
552,guess
553,weight
554,third
555,troop
556,with
557,after
558,war
559,draw
560,their
561,attention
562,tale
563,delicious
564,andrey
565,long
566,sakata-no-kintoki
567,already
568,seven
569,bet
570,houston
571,waist
572,uh-oh
573,'re-
574,recyclable
575,brad
576,never
577,out
578,himself
579,called
580,mirror
581,outside
582,call
583,deianeira
584,blossom
585,korgano
586,garde
587,most
588,thing
589,ever
590,seen
591,mangez
592,merveillac
593,kaybeach
594,haifa
595,mended
596,always
597,give
598,fish
599,fact
600,terrific
601,guy
602,gonna
603,bon
604,appétit
605,goes
606,civilized
607,people
608,vance
609,wade
610,taplow
611,presume
612,using
613,different
614,text
615,mine
616,hah
617,idea
618,face
619,seems
620,black
621,hair
622,frau
623,newman
624,keep
625,rosetta
626,least
627,knots
628,faster
629,known
630,fooling
631,12
632,miles
633,canyon
634,hit
635,rock
636,instantaneous
637,detail
638,spot
639,stink
640,thomas
641,sitting
642,sir
643,michael
644,greying
645,temples
646,distinguished
647,suteo
648,stan
649,walker
650,wychinski
651,fits
652,cover
653,other
654,ah
655,countess
656,coming
657,medical
658,kit
659,louis
660,slightly
661,far
662,fluctuations
663,isocortex
664,40cc
665,inaprovaline
666,last
667,angie-san
668,zowie
669,martina
670,spectacular
671,highness
672,lt
673,lovely
674,slade
675,unreal
676,nothing
677,say
678,new
679,york
680,smells
681,150
682,meters
683,regarding
